"database","table","engine","total_rows","compressed_size_bytes","uncompressed_size_bytes"
"business","ztna_user_security_log_local","MergeTree",0,0,0
"dspm","data_security_log","Distributed",0,0,0
"dspm","data_security_log_backend","Distributed",0,0,0
"dspm","data_security_log_backend_local","MergeTree",0,0,0
"dspm","data_security_log_local","MergeTree",0,0,0
"dspm","http_log_statistics_by_day","Distributed",0,0,0
"dspm","http_log_statistics_by_day_local","AggregatingMergeTree",0,0,0
"dspm","http_log_statistics_by_day_mv","MaterializedView",0,0,0
"dspm","label_count_by_day","Distributed",0,0,0
"dspm","label_count_by_day_local","AggregatingMergeTree",0,0,0
"dspm","label_count_by_day_mv","MaterializedView",0,0,0
"log_checker","logcheck_ability_alert","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_ability_alert_distributed","Distributed",0,0,0
"log_checker","logcheck_ability_log","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_ability_log_distributed","Distributed",0,0,0
"log_checker","logcheck_analyze_audit_log","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_analyze_audit_log_distributed","Distributed",0,0,0
"log_checker","logcheck_analyze_security_log","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_analyze_security_log_distributed","Distributed",0,0,0
"log_checker","logcheck_business_alert","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_business_alert_distributed","Distributed",0,0,0
"log_checker","logcheck_business_incident","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_business_incident_distributed","Distributed",0,0,0
"log_checker","logcheck_datalake_audit_collect","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_datalake_audit_collect_distributed","Distributed",0,0,0
"log_checker","logcheck_datalake_audit_ingest","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_datalake_audit_ingest_distributed","Distributed",0,0,0
"log_checker","logcheck_datalake_collect","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_datalake_collect_distributed","Distributed",0,0,0
"log_checker","logcheck_datalake_ingest","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_datalake_ingest_distributed","Distributed",0,0,0
"log_checker","logcheck_enaane_alert","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_enaane_alert_distributed","Distributed",0,0,0
"log_checker","logcheck_enaane_incident","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_enaane_incident_distributed","Distributed",0,0,0
"log_checker","logcheck_mss_alert","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_mss_alert_distributed","Distributed",0,0,0
"log_checker","logcheck_mss_incident","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_mss_incident_distributed","Distributed",0,0,0
"log_checker","logcheck_result_5min","ReplicatedMergeTree",0,0,0
