"database","table","column","type","default_kind","default_expression"
"business","arp_log_local","rowLogAlias","String","ALIAS","lower(toValidUTF8(trimBoth(arrayStringConcat(arrayMap(c -> trimBoth(c), [manageIp, deviceIp, senderIp, targetIp, senderMac, targetMac, _invert_text]), ' '))))"
"business","arp_log_local","senderIp","String","",""
"business","arp_log_local","senderMac","String","",""
"business","arp_log_local","srcRegionId","Nullable(String)","",""
"business","arp_log_local","targetIp","String","",""
"business","arp_log_local","targetMac","String","",""
"business","arp_log_local","tenant","LowCardinality(String)","",""
"business","arp_log_local","uploadTime","String","",""
"business","arp_log_local","uploadTimestamp","Int64","",""
"business","arp_log_local","uuId","String","",""
"business","arp_log_local","v","Int32","",""
"business","arp_log_local","vendor","LowCardinality(String)","",""
"business","asset_impersonation_security_log","confidence","Int32","",""
"business","asset_impersonation_security_log","devUId","Int32","",""
"business","asset_impersonation_security_log","deviceId","LowCardinality(String)","",""
"business","asset_impersonation_security_log","deviceIp","LowCardinality(String)","",""
"business","asset_impersonation_security_log","dstIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(newIp))"
"business","asset_impersonation_security_log","dstIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(newIp))"
"business","asset_impersonation_security_log","extensions","Nullable(String)","",""
"business","asset_impersonation_security_log","insertTimestamp","Int64","",""
"business","asset_impersonation_security_log","logSampled","Nullable(Int32)","",""
"business","asset_impersonation_security_log","logTraceInfo","Nullable(String)","",""
"business","asset_impersonation_security_log","manage","LowCardinality(String)","",""
"business","asset_impersonation_security_log","manageIp","LowCardinality(String)","",""
"business","asset_impersonation_security_log","newAssetId","Nullable(String)","",""
"business","asset_impersonation_security_log","newCity","LowCardinality(String)","",""
"business","asset_impersonation_security_log","newCountry","LowCardinality(String)","",""
"business","asset_impersonation_security_log","newHostname","LowCardinality(String)","",""
"business","asset_impersonation_security_log","newIp","String","",""
"business","asset_impersonation_security_log","newMac","String","",""
"business","asset_impersonation_security_log","newProvince","LowCardinality(String)","",""
"business","asset_impersonation_security_log","newSubType","Nullable(Int32)","",""
"business","asset_impersonation_security_log","newType","Nullable(Int32)","",""
"business","asset_impersonation_security_log","newVendorCrc","Int64","",""
"business","asset_impersonation_security_log","orgAssetId","Nullable(String)","",""
"business","asset_impersonation_security_log","orgCity","LowCardinality(String)","",""
"business","asset_impersonation_security_log","orgCountry","LowCardinality(String)","",""
"business","asset_impersonation_security_log","orgHostname","LowCardinality(String)","",""
"business","asset_impersonation_security_log","orgIp","String","",""
"business","asset_impersonation_security_log","orgMac","String","",""
"business","asset_impersonation_security_log","orgProvince","LowCardinality(String)","",""
"business","asset_impersonation_security_log","orgSubType","Nullable(Int32)","",""
"business","asset_impersonation_security_log","orgType","Nullable(Int32)","",""
"business","asset_impersonation_security_log","orgVendorCrc","Int64","",""
"business","asset_impersonation_security_log","originProductTy","LowCardinality(String)","",""
"business","asset_impersonation_security_log","originProductVe","LowCardinality(String)","",""
"business","asset_impersonation_security_log","productType","LowCardinality(String)","",""
"business","asset_impersonation_security_log","productVer","LowCardinality(String)","",""
"business","asset_impersonation_security_log","recordTimestamp","Int64","",""
"business","asset_impersonation_security_log","riskLevel","Int32","",""
"business","asset_impersonation_security_log","severity","Int32","",""
"business","asset_impersonation_security_log","srcIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(orgIp))"
"business","asset_impersonation_security_log","srcIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(orgIp))"
"business","asset_impersonation_security_log","tenant","LowCardinality(String)","",""
"business","asset_impersonation_security_log","threatClass","Int32","",""
"business","asset_impersonation_security_log","threatSubType","Int32","",""
"business","asset_impersonation_security_log","threatType","Int32","",""
"business","asset_impersonation_security_log","uploadTimestamp","Int64","",""
"business","asset_impersonation_security_log","uuId","String","",""
"business","asset_impersonation_security_log","v","Int32","",""
"business","asset_impersonation_security_log","vendor","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","confidence","Int32","",""
