"database","table","ttl_expression","ttl_value"
"business","pop3_login_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","raw_log_local","TTL toDate(recordTimestamp) + toIntervalDay(7) ",7
"business","rdp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","redis_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","report_audit_log_local","TTL toDate(cloudRecieveTimestamp) + toIntervalDay(180) ",180
"business","sas_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","sdp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","sip_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","smb_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","smtp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","smtp_login_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","snmp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","socks_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","sql_server_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","ssh_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","ssl_tls_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","sybase_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","tcp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","telnet_command_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","telnet_login_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","telnet_option_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","udp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","universal_thirdparty_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","vpn_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","vsphere_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","weak_log_local","TTL insertTime + toIntervalDay(30) ",30
"business","webmail_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","webmail_login_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","ztna_access_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","ztna_user_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","ztna_user_security_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
