"user_group","table_name","query_count","matched_query_count","ratio_7d","ratio_15d","ratio_30d","ratio_60d","ratio_90d","p50_days","p80_days","p90_days","p95_days","p99_days"
"user_xdr_log_search_readonly","imap_login_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","ldap_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","nat_config_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","ntlm_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","sas_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","ftp_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","vpn_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","nat_session_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","sybase_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","acl_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","endpoint_behavior_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","pop3_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","telnet_login_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","snmp_log",14,14,1,1,1,1,1,1,1,1,1,1
"__NON_HUMAN__","kerberos_log",6,6,1,1,1,1,1,1,1,1,1,1
"__NON_HUMAN__","telnet_command_log",6,6,1,1,1,1,1,1,1,1,1,1
